Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2011,Boston Celtics,56,26,0.683,—,96.5,91.1,4.83,Y,N
2011,New York Knicks,42,40,0.512,14.0,106.5,105.7,0.48,Y,N
2011,Philadelphia 76ers,41,41,0.5,15.0,99.0,97.5,1.01,Y,N
2011,New Jersey Nets,24,58,0.293,32.0,94.2,100.4,-6.28,N,Y
2011,Toronto Raptors,22,60,0.268,34.0,99.1,105.4,-6.28,N,Y
2011,Chicago Bulls,62,20,0.756,—,98.6,91.3,6.53,Y,N
2011,Indiana Pacers,37,45,0.451,25.0,99.8,100.9,-1.38,Y,Y
2011,Milwaukee Bucks,35,47,0.427,27.0,91.9,92.7,-1.02,N,Y
2011,Detroit Pistons,30,52,0.366,32.0,97.0,100.6,-3.78,N,Y
2011,Cleveland Cavaliers,19,63,0.232,43.0,95.5,104.5,-8.88,N,Y
2011,Miami Heat,58,24,0.707,—,102.1,94.6,6.76,Y,N
2011,Orlando Magic,52,30,0.634,6.0,99.2,93.7,4.92,Y,N
2011,Atlanta Hawks,44,38,0.537,14.0,95.0,95.8,-1.1,Y,N
2011,Charlotte Bobcats,34,48,0.415,24.0,93.3,97.3,-4.08,N,Y
2011,Washington Wizards,23,59,0.28,35.0,97.3,104.7,-7.3,N,Y
